uri,is_viral,repost_5m,repost_15m,repost_30m,repost_60m,repost_15_to_30m,repost_acceleration,repost_velocity_ratio,repost_burst_ratio,repost_growth_30_to_60m,like_5m,like_15m,like_30m,like_60m,like_15_to_30m,like_acceleration,like_velocity_ratio,like_burst_ratio,like_growth_30_to_60m,reply_5m,reply_15m,reply_30m,reply_60m,reply_15_to_30m,reply_acceleration,reply_velocity_ratio,reply_burst_ratio,reply_growth_30_to_60m,quote_5m,quote_15m,quote_30m,quote_60m,quote_15_to_30m,quote_acceleration,quote_velocity_ratio,quote_burst_ratio,quote_growth_30_to_60m,ttf_repost_sec,ttf_like_sec,ttf_reply_sec,ttf_quote_sec,text_len,has_embed,author_followers,author_followers_log,author_is_whale,total_engagement_30m,like_repost_ratio_30m,reply_repost_ratio_30m,quote_repost_ratio_30m
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjchpu7vls2o,1,20,40,63,63,23,-17,0.5609756097560976,0.3125,0.984375,89,188,325,325,137,-51,0.7248677248677249,0.27300613496932513,0.9969325153374233,9,14,32,32,18,4,1.2,0.2727272727272727,0.9696969696969697,1,3,4,4,1,-2,0.25,0.2,0.8,15.797598,10.244528,68.198962,160.10711,114,1,0,0.0,0,424,5.078125,0.5,0.0625
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjcwmas52c2q,1,23,44,67,67,23,-21,0.5111111111111111,0.3382352941176471,0.9852941176470589,84,165,249,249,84,-81,0.5060240963855421,0.336,0.996,2,6,11,11,5,-1,0.7142857142857143,0.16666666666666666,0.9166666666666666,0,0,4,4,4,4,4.0,0.0,0.8,30.83909,7.14068,88.970576,937.067979,295,0,0,0.0,0,331,3.661764705882353,0.16176470588235295,0.058823529411764705
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjd3ovghwc2b,1,50,106,142,142,36,-70,0.3364485981308411,0.34965034965034963,0.993006993006993,203,411,551,551,140,-271,0.33980582524271846,0.3677536231884058,0.9981884057971014,6,13,18,18,5,-8,0.35714285714285715,0.3157894736842105,0.9473684210526315,2,6,7,7,1,-5,0.14285714285714285,0.25,0.875,10.813669,9.738934,113.090936,21.391814,202,0,0,0.0,0,718,3.8531468531468533,0.1258741258741259,0.04895104895104895
at://did:plc:22gl4rbpkgcoxytuhphhqofi/app.bsky.feed.post/3mjcjmlsk4c25,1,1,2,11,11,9,7,3.0,0.08333333333333333,0.9166666666666666,5,11,19,19,8,-3,0.6666666666666666,0.25,0.95,0,1,2,2,1,0,0.5,0.0,0.6666666666666666,0,1,1,1,0,-1,0.0,0.0,0.5,207.040011,25.75695,667.909595,569.304486,64,1,0,0.0,0,33,1.5833333333333333,0.16666666666666666,0.08333333333333333
at://did:plc:22hr43jug7e6bpdqhas2s74n/app.bsky.feed.post/3mjcbtisock2d,1,4,20,30,30,10,-10,0.47619047619047616,0.12903225806451613,0.967741935483871,26,77,127,127,50,-27,0.6410256410256411,0.203125,0.9921875,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,30.794336,11.008358,9999.0,9999.0,57,1,0,0.0,0,157,4.096774193548387,0.0,0.0
at://did:plc:22m4kc2r5hfwx3r22fowd3ld/app.bsky.feed.post/3mjbuv3aya22m,1,1,2,12,12,10,8,3.3333333333333335,0.07692307692307693,0.9230769230769231,1,5,24,24,19,14,3.1666666666666665,0.04,0.96,0,1,2,2,1,0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,0.0,0.0,0.0,110.899485,107.833988,390.417936,9999.0,71,1,0,0.0,0,38,1.8461538461538463,0.15384615384615385,0.0
at://did:plc:237vcx4ofjqqug56uinrax32/app.bsky.feed.post/3mjcok54wjc25,1,0,6,13,13,7,1,1.0,0.0,0.9285714285714286,3,17,37,37,20,3,1.1111111111111112,0.07894736842105263,0.9736842105263158,1,5,13,13,8,3,1.3333333333333333,0.07142857142857142,0.9285714285714286,0,1,1,1,0,-1,0.0,0.0,0.5,585.251103,79.62598,114.112932,690.70577,219,0,0,0.0,0,64,2.642857142857143,0.9285714285714286,0.07142857142857142
at://did:plc:2444wwiqjkcawdm7bzp2ubnw/app.bsky.feed.post/3mjdfwihhx22w,1,3,9,18,18,9,0,0.9,0.15789473684210525,0.9473684210526315,17,53,84,84,31,-22,0.5740740740740741,0.2,0.9882352941176471,1,3,7,7,4,1,1.0,0.125,0.875,1,1,2,2,1,0,0.5,0.3333333333333333,0.6666666666666666,123.834971,13.749244,149.46316,106.850493,263,1,0,0.0,0,111,4.421052631578948,0.3684210526315789,0.10526315789473684
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjblir4lxc2p,1,8,12,13,13,1,-11,0.07692307692307693,0.5714285714285714,0.9285714285714286,11,21,33,33,12,-9,0.5454545454545454,0.3235294117647059,0.9705882352941176,0,0,0,0,0,0,0.0,0.0,0.0,1,1,1,1,0,-1,0.0,0.5,0.5,44.871284,31.421352,9999.0,148.295935,196,1,0,0.0,0,47,2.357142857142857,0.0,0.07142857142857142
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjbln5t7ws2p,1,2,6,17,17,11,5,1.5714285714285714,0.1111111111111111,0.9444444444444444,8,23,56,56,33,10,1.375,0.14035087719298245,0.9824561403508771,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,25.409629,24.139798,9999.0,9999.0,176,1,0,0.0,0,73,3.111111111111111,0.0,0.0
