uri,is_viral,repost_6m,repost_12m,repost_18m,repost_24m,repost_30m,repost_18_to_30m,repost_acceleration,repost_velocity_ratio,repost_burst_ratio,repost_30m_log,like_6m,like_12m,like_18m,like_24m,like_30m,like_18_to_30m,like_acceleration,like_velocity_ratio,like_burst_ratio,like_30m_log,reply_6m,reply_12m,reply_18m,reply_24m,reply_30m,reply_18_to_30m,reply_acceleration,reply_velocity_ratio,reply_burst_ratio,reply_30m_log,quote_6m,quote_12m,quote_18m,quote_24m,quote_30m,quote_18_to_30m,quote_acceleration,quote_velocity_ratio,quote_burst_ratio,quote_30m_log,ttf_repost_sec,ttf_like_sec,ttf_reply_sec,ttf_quote_sec,text_len,has_embed,author_followers,author_follows,author_posts_count,author_followers_log,author_follows_log,author_posts_count_log,author_is_whale,author_ff_ratio,author_prior_post_count,author_prior_post_count_log,author_hist_mean_likes,author_hist_max_likes,author_hist_mean_reposts,author_hist_max_reposts,author_hist_mean_replies,author_hist_max_replies,author_hist_mean_quotes,author_hist_max_quotes,repost_engager_count,repost_engager_followers_max,repost_engager_followers_mean,repost_engager_followers_median,repost_engager_followers_sum,repost_engager_followers_std,repost_engager_reach_log,repost_whale_count,repost_whale_ratio,repost_reach_concentration,like_engager_count,like_engager_followers_max,like_engager_followers_mean,like_engager_followers_median,like_engager_followers_sum,like_engager_followers_std,like_engager_reach_log,like_whale_count,like_whale_ratio,like_reach_concentration,reply_engager_count,reply_engager_followers_max,reply_engager_followers_mean,reply_engager_followers_median,reply_engager_followers_sum,reply_engager_followers_std,reply_engager_reach_log,reply_whale_count,reply_whale_ratio,reply_reach_concentration,quote_engager_count,quote_engager_followers_max,quote_engager_followers_mean,quote_engager_followers_median,quote_engager_followers_sum,quote_engager_followers_std,quote_engager_reach_log,quote_whale_count,quote_whale_ratio,quote_reach_concentration,total_engagement_30m,like_repost_ratio_30m,reply_repost_ratio_30m,quote_repost_ratio_30m,total_engagement_18m,like_repost_ratio_18m,emotion_joy,emotion_moral_outrage,emotion_neutral,emotion_sadness,emotion_anger,emotion_label
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjchpu7vls2o,1,21,31,42,49,63,21,-21,0.4883720930232558,0.328125,4.1588830833596715,101,167,204,242,325,121,-83,0.5902439024390244,0.3098159509202454,5.786897381366708,9,10,19,24,32,13,-6,0.65,0.2727272727272727,3.4965075614664802,3,3,3,4,4,1,-2,0.25,0.6,1.6094379124341003,15.797598,10.244528,68.198962,160.10711,114,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,5.078125,0.5,0.0625,268,4.744186046511628,0.0026468388,0.98362446,0.0024244036,0.0029760087,0.008328303,moral_outrage
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjcwmas52c2q,1,24,41,51,57,67,16,-35,0.3076923076923077,0.35294117647058826,4.219507705176107,90,151,186,216,249,63,-123,0.33689839572192515,0.36,5.521460917862246,2,5,7,11,11,4,-3,0.5,0.16666666666666666,2.4849066497880004,0,0,1,3,4,3,2,1.5,0.0,1.6094379124341003,30.83909,7.14068,88.970576,937.067979,295,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0.6931471805599453,1539.0,1539.0,318.0,318.0,98.0,98.0,26.0,26.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,3.661764705882353,0.16176470588235295,0.058823529411764705,245,3.576923076923077,0.002459178,0.9813995,0.0107218595,0.0033380834,0.0020813488,moral_outrage
at://did:plc:222rnvnta2lbl364bog2plxw/app.bsky.feed.post/3mjd3ovghwc2b,1,61,98,120,130,142,22,-98,0.18181818181818182,0.42657342657342656,4.962844630259907,242,364,460,514,551,91,-369,0.19739696312364424,0.4384057971014493,6.313548046277095,6,11,15,18,18,3,-12,0.1875,0.3157894736842105,2.9444389791664403,2,6,6,6,7,1,-5,0.14285714285714285,0.25,2.0794415416798357,10.813669,9.738934,113.090936,21.391814,202,0,0,0,0,0.0,0.0,0.0,0,0.0,2,1.0986122886681098,1426.0,1539.0,315.0,318.0,62.5,98.0,19.5,26.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718,3.8531468531468533,0.1258741258741259,0.04895104895104895,601,3.8016528925619837,0.8566638,0.10254356,0.027546493,0.00668375,0.006562524,joy
at://did:plc:22gl4rbpkgcoxytuhphhqofi/app.bsky.feed.post/3mjcjmlsk4c25,1,1,2,2,7,11,9,7,3.0,0.08333333333333333,2.4849066497880004,6,10,11,14,19,8,-3,0.6666666666666666,0.3,2.995732273553991,0,1,1,1,2,1,0,0.5,0.0,1.0986122886681098,0,1,1,1,1,0,-1,0.0,0.0,0.6931471805599453,207.040011,25.75695,667.909595,569.304486,64,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1.5833333333333333,0.16666666666666666,0.08333333333333333,15,3.6666666666666665,0.0059285252,0.05264157,0.9309649,0.0080791,0.0023859453,neutral
at://did:plc:22hr43jug7e6bpdqhas2s74n/app.bsky.feed.post/3mjcbtisock2d,1,7,16,25,29,30,5,-20,0.19230769230769232,0.22580645161290322,3.4339872044851463,31,67,92,109,127,35,-57,0.3763440860215054,0.2421875,4.852030263919617,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,30.794336,11.008358,9999.0,9999.0,57,1,0,0,0,0.0,0.0,0.0,0,0.0,1,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,4.096774193548387,0.0,0.0,117,3.5384615384615383,0.86199313,0.0041666133,0.12876673,0.0022555,0.0028179274,joy
at://did:plc:22m4kc2r5hfwx3r22fowd3ld/app.bsky.feed.post/3mjbuv3aya22m,1,1,1,3,4,12,9,6,2.25,0.07692307692307693,2.5649493574615367,1,3,9,16,24,15,6,1.5,0.04,3.2188758248682006,0,1,1,1,2,1,0,0.5,0.0,1.0986122886681098,0,0,0,0,0,0,0,0.0,0.0,0.0,110.899485,107.833988,390.417936,9999.0,71,1,0,0,0,0.0,0.0,0.0,0,0.0,2,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1.8461538461538463,0.15384615384615385,0.0,13,2.25,0.002678093,0.9870969,0.0020593505,0.0034082716,0.0047573936,moral_outrage
at://did:plc:237vcx4ofjqqug56uinrax32/app.bsky.feed.post/3mjcok54wjc25,1,0,3,7,11,13,6,-1,0.75,0.0,2.6390573296152584,3,12,19,31,37,18,-1,0.9,0.07894736842105263,3.6375861597263857,1,4,5,10,13,8,3,1.3333333333333333,0.07142857142857142,2.6390573296152584,0,1,1,1,1,0,-1,0.0,0.0,0.6931471805599453,585.251103,79.62598,114.112932,690.70577,219,0,0,0,0,0.0,0.0,0.0,0,0.0,3,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2.642857142857143,0.9285714285714286,0.07142857142857142,32,2.375,0.003354825,0.98417735,0.0032765996,0.002668063,0.0065231705,moral_outrage
at://did:plc:2444wwiqjkcawdm7bzp2ubnw/app.bsky.feed.post/3mjdfwihhx22w,1,3,8,11,14,18,7,-4,0.5833333333333334,0.15789473684210525,2.9444389791664403,19,45,60,75,84,24,-36,0.39344262295081966,0.2235294117647059,4.442651256490317,1,3,3,4,7,4,1,1.0,0.125,2.0794415416798357,1,1,1,2,2,1,0,0.5,0.3333333333333333,1.0986122886681098,123.834971,13.749244,149.46316,106.850493,263,1,0,0,0,0.0,0.0,0.0,0,0.0,4,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,4.421052631578948,0.3684210526315789,0.10526315789473684,75,5.0,0.041481797,0.91653776,0.025163172,0.009680498,0.0071367025,moral_outrage
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjblir4lxc2p,1,8,10,12,12,13,1,-11,0.07692307692307693,0.5714285714285714,2.6390573296152584,11,18,24,26,33,9,-15,0.36,0.3235294117647059,3.5263605246161616,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,1,1,1,0,-1,0.0,0.5,0.6931471805599453,44.871284,31.421352,9999.0,148.295935,196,1,0,0,0,0.0,0.0,0.0,0,0.0,5,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,2.357142857142857,0.0,0.07142857142857142,37,1.8461538461538463,0.0045374944,0.9839184,0.004909747,0.0016478136,0.004986612,moral_outrage
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjbln5t7ws2p,1,2,6,8,13,17,9,1,1.0,0.1111111111111111,2.8903717578961645,10,18,30,43,56,26,-4,0.8387096774193549,0.17543859649122806,4.04305126783455,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.409629,24.139798,9999.0,9999.0,176,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,3.111111111111111,0.0,0.0,38,3.3333333333333335,0.0020778393,0.98790926,0.0045421463,0.0025161465,0.002954533,moral_outrage
